Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0603_1608Metric,8.89,-33.02,90.0,top
C2,100nF,C_0603_1608Metric,8.89,33.02,90.0,top
D1,SK6812MINI,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,5.08,-33.02,-90.0,top
D2,SK6812MINI,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,5.08,33.02,-90.0,top
J7,Conn_01x04,connector-4p-generic-nosilk,56.0,-17.81,0.0,top
J8,Conn_01x04,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,60.000007,-5.0,180.0,top
J9,Conn_01x04,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,60.000007,6.000001,180.0,top
M1,SMTSO3035,mounting_SMD_NUT_M3_H6mm,86.0,10.0,0.0,top
M2,SMTSO3035,mounting_SMD_NUT_M3_H6mm,86.0,-10.0,0.0,top
R1,3.3K,R_0603_1608Metric,59.69,-9.144,180.0,top
R2,3.3K,R_0603_1608Metric,59.944,10.414,180.0,top
