Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0603_1608Metric,45.72,15.494,0.0,top
C2,100nF,C_0603_1608Metric,-45.72,15.494,0.0,top
C3,100nF,C_0603_1608Metric,-36.576,14.986,180.0,top
C4,100nF,C_0603_1608Metric,36.576,14.986,0.0,top
D1,SK6812,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,-29.21,19.05,0.0,top
D2,SK6812,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,-36.83,19.05,0.0,top
D3,SK6812,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,36.83,19.05,0.0,top
D4,SK6812,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,28.956,19.05,0.0,top
U1,VL53L0X,ST_VL53L1x,44.45,19.05,0.0,top
U2,VL53L0X,ST_VL53L1x,-44.45,19.05,0.0,top
